ServerName,Date,Mode,Model,ImageName,SessionID,ClientCount,StartTime,FinishTime,TotalTime,Result
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,22,3,10:48 AM,10:54 AM,00:05:41,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,23,4,10:50 AM,10:56 AM,00:05:29,SUCCESS
PRODUCTIONSC-1,20260610,CAPTURE,ThinkPad P51,test.wim,ass,1,11:53 AM,12:01 PM,00:07:51,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,1,5,11:44 AM,12:05 PM,00:20:54,SUCCESS
ATL-LAB2,2026-06-10,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,2,1,12:02 PM,12:06 PM,00:03:51,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,11:02 AM,11:06 AM,00:04:37,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,11:01 AM,11:07 AM,00:05:30,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,4,5,11:47 AM,12:08 PM,00:21:06,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,AWS LABS NUC WIN 11 (25H2) V6 [06-02-26].wim,3,5,11:46 AM,12:08 PM,00:21:28,SUCCESS
LA-LAB1,20260610,CAPTURE,Latitude 5511,FS-Basic_Dell-Latitude-5511_W11PRO-25H2_Office-2024Pro_6-9.wim,100,1,8:56 AM,9:18 AM,00:21:48,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,11:01 AM,11:28 AM,00:26:51,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,11:36 AM,11:39 AM,00:03:08,CANCELLED
DAL-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,32,2,11:32 AM,11:40 AM,00:08:07,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,31,3,11:31 AM,11:40 AM,00:09:14,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,21,3,11:31 AM,11:41 AM,00:10:28,SUCCESS
LA-LAB1,2026-06-10,APPLY,Latitude 5520,FS-Basic_Dell-Latitude-5520_W11PRO-24H2_Office-2021Pro_3-2-26.wim,1,1,9:32 AM,9:43 AM,00:10:56,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,5,11:40 AM,11:45 AM,00:04:35,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,23,3,11:42 AM,11:47 AM,00:04:50,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,11:37 AM,11:47 AM,00:10:28,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,11:37 AM,11:47 AM,00:10:40,SUCCESS
LA-LAB1,20260610,CAPTURE,HP ZBook Power G7 Mobile Workstation,FS-ADV_HP-ZBook-G7-MW_W11PRO-25H2_Office2024Pro_6-9.wim,100,1,9:24 AM,9:54 AM,00:29:27,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,z,1,12:09 PM,12:09 PM,00:00:15,SUCCESS
LV-LAB1,2026-06-10,APPLY,ThinkStation P330 Tiny,PORTRAIT (KIOSKS) P330_W11PRO-25H2 12-06-25.wim,1,1,10:05 AM,10:10 AM,00:04:36,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,12:28 PM,12:33 PM,00:04:45,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,12:28 PM,12:36 PM,00:08:03,SUCCESS
